st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK296,1,1,1,More than 4 hours,7-Jun,21,16,0.4571429,0.7,0.56174,0.4826282,1.330797,1.08194,1,4,5,3,3,0,0,1,.,7-Apr,12,23,0.6764706,0.4,1.654413,1.293095,-0.5913317,-0.3712019,1,Tekhand,12,1,7,1,19,-0.2957488,0,0,0,1,0,0
TK297,1,1,1,More than 4 hours,7-Jun,19,19,0.5428572,0.6333333,0.8379261,0.67179,0.8843412,0.7854379,1,5,5,3,3,0,0,1,.,7-Apr,25,30,0.8823529,0.8333333,3.01594,2.335508,2.008357,1.773126,1,Tekhand,11,1,6,1,19,-1.468479,0,0,1,0,0,0
TK298,0,0,0,.,9-Aug,15,12,0.3428572,0.5,0.4433164,0.4259293,0.7549899,0.7492697,0,3,4,2,3,0,1,0,.,9-Aug,14,12,0.3428572,0.4666667,-0.5307726,-0.3420481,-0.0254676,0.0251663,1,Tekhand,14,1,8,0,17,0.9292488,0,0,0,0,1,0
TK299,0,0,0,.,7-Jun,16,8,0.2285714,0.5333334,-1.730376,-1.954605,0.2899753,0.3342203,0,1,4,1,2,0,0,1,.,7-Apr,15,9,0.2647059,0.5,-0.7396091,-0.4059822,0.0663705,0.1250999,1,Tekhand,14,1,7,1,17,-1.720373,0,0,0,1,0,0
TK300,0,0,0,.,9-Aug,9,6,0.1714286,0.3,-0.9507046,-0.6304042,-0.3147191,-0.1927273,0,1,2,1,1,1,1,0,2-3 hours,9-Aug,22,14,0.4,0.7333333,0.1969817,0.2332777,1.415,1.2384,1,Tekhand,14,1,8,1,14,1.388239,0,0,0,0,1,0
TK301,0,0,0,.,9-Aug,9,7,0.2,0.3,-0.1060563,0.0048036,-0.513548,-0.1878553,0,2,2,2,1,1,1,0,2-3 hours,9-Aug,13,13,0.3714286,0.4333333,-0.2826743,-0.1258603,-0.3785447,-0.2115857,1,Tekhand,14,1,8,1,14,0.1241006,0,0,0,0,1,0
TK302,0,0,0,.,7-Jun,11,3,0.0857143,0.3666667,-1.699261,-1.226717,-0.3538139,-0.2193478,0,1,3,1,2,0,0,1,.,7-Apr,12,7,0.2058824,0.4,-1.196361,-0.7808598,-0.962831,-0.7187155,1,Tekhand,12,1,6,0,14,2.130819,0,0,1,0,0,0
TK303,1,1,0,1-2 hours,9-Aug,10,14,0.4,0.3333333,1.167551,1.065007,0.1221171,0.2625239,1,4,3,3,2,,,,.,,,,,,,,,,,Tekhand,,1,9,0,17,2.094735,0,0,0,0,0,1
TK304,0,0,0,.,9-Aug,13,14,0.4,0.4333333,-0.7771408,-0.7170098,0.724701,0.6532749,0,1,4,1,2,,,,.,,,,,,,,,,,Tekhand,,1,9,1,17,1.690992,0,0,0,0,0,1
TK305,0,0,0,.,9-Aug,20,15,0.4285714,0.6666667,1.468989,1.246208,1.142555,1.022656,0,5,5,3,3,0,0,0,.,9-Aug,20,28,0.8,0.6666667,2.707594,2.102952,1.062821,0.9011086,0,Tekhand,,0,8,1,12,-0.1602799,0,0,0,0,1,0
TK306,1,1,1,1-2 hours,7-Jun,17,13,0.3714286,0.5666667,0.6801164,0.6247103,0.7102545,0.7186908,1,5,5,3,3,1,1,0,2-3 hours,7-Apr,22,26,0.7647059,0.7333333,2.158495,1.666422,0.9790549,0.8256055,1,Tekhand,,0,6,0,12,1.623184,0,0,1,0,0,0
TK307,1,1,1,1-2 hours,7-Jun,6,10,0.2857143,0.2,-0.185049,-0.0961404,-1.467466,-1.143233,1,3,1,2,1,1,0,0,1-2 hours,7-Apr,11,17,0.5,0.3666667,0.432873,0.4394031,-0.4509805,-0.2883294,1,Tekhand,,0,6,1,12,-0.6434454,0,0,1,0,0,0
TK308,1,1,1,Less than 1 hour,7-Jun,13,14,0.4,0.4333333,0.5265294,0.5061433,-0.3455145,-0.2454289,1,5,3,3,2,0,0,1,.,7-Apr,16,18,0.5294118,0.5333334,0.5627893,0.5525856,0.281183,0.3076094,1,Tekhand,13,0,6,0,12,-3.636967,0,0,1,0,0,0
TK309,1,1,1,1-2 hours,7-Jun,17,13,0.3714286,0.5666667,0.4192679,0.4359084,0.5194933,0.4820535,1,5,5,3,3,1,1,1,1-2 hours,7-Apr,19,28,0.8235294,0.6333333,2.31097,1.909866,0.7247857,0.6758552,1,Tekhand,13,0,6,1,12,-0.9296035,0,0,1,0,0,0
TK310,1,1,1,1-2 hours,9-Aug,8,11,0.3142857,0.2666667,-0.3755316,-0.2685992,-0.4042726,-0.1878553,1,2,2,1,1,0,0,1,.,9-Aug,12,15,0.4285714,0.4,0.4744499,0.4535353,-0.5793495,-0.3896051,1,Tekhand,15,0,9,1,13,0.1241006,0,0,0,0,0,1
TK313,1,1,1,1-2 hours,7-Jun,8,15,0.4285714,0.2666667,0.7652958,0.7120374,-1.23214,-0.965477,1,5,1,3,1,0,0,1,.,7-Apr,10,15,0.4411765,0.3333333,0.5146847,0.4544534,-0.5100359,-0.3038842,1,Tekhand,10,0,6,0,13,-2.106704,0,0,1,0,0,0
